CMDLINE /oscar/home/ndilullo/work/tensorflow.venv/bin/python pfn_example_modified.py
MEM 5.500000 1772129995.5058
MEM 19.500000 1772129995.6061
MEM 21.000000 1772129995.7064
MEM 26.000000 1772129995.8065
MEM 27.500000 1772129995.9067
MEM 30.500000 1772129996.0068
MEM 34.000000 1772129996.1070
MEM 36.500000 1772129996.2073
MEM 38.500000 1772129996.3076
MEM 40.000000 1772129996.4079
MEM 41.000000 1772129996.5082
MEM 42.000000 1772129996.6085
MEM 42.500000 1772129996.7087
MEM 46.000000 1772129996.8090
MEM 53.500000 1772129996.9093
MEM 69.000000 1772129997.0097
MEM 74.500000 1772129997.1100
MEM 78.500000 1772129997.2102
MEM 83.500000 1772129997.3105
MEM 88.500000 1772129997.4107
MEM 94.000000 1772129997.5110
MEM 101.500000 1772129997.6113
MEM 109.000000 1772129997.7115
MEM 118.500000 1772129997.8119
MEM 127.000000 1772129997.9124
MEM 133.000000 1772129998.0129
MEM 137.000000 1772129998.1132
MEM 142.000000 1772129998.2134
MEM 146.000000 1772129998.3137
MEM 150.000000 1772129998.4140
MEM 153.500000 1772129998.5143
MEM 158.000000 1772129998.6145
MEM 163.500000 1772129998.7147
MEM 170.000000 1772129998.8150
MEM 176.000000 1772129998.9153
MEM 181.500000 1772129999.0156
MEM 186.000000 1772129999.1159
MEM 190.000000 1772129999.2161
MEM 194.000000 1772129999.3164
MEM 198.500000 1772129999.4167
MEM 203.000000 1772129999.5170
MEM 209.000000 1772129999.6173
MEM 214.500000 1772129999.7175
MEM 218.500000 1772129999.8177
MEM 222.500000 1772129999.9179
MEM 226.500000 1772130000.0182
MEM 230.500000 1772130000.1185
MEM 235.000000 1772130000.2187
MEM 238.500000 1772130000.3190
MEM 242.000000 1772130000.4193
MEM 247.500000 1772130000.5196
MEM 251.500000 1772130000.6199
MEM 255.500000 1772130000.7202
MEM 260.500000 1772130000.8205
MEM 264.000000 1772130000.9207
MEM 265.000000 1772130001.0210
MEM 266.500000 1772130001.1213
MEM 267.500000 1772130001.2216
MEM 268.500000 1772130001.3219
MEM 270.000000 1772130001.4222
MEM 272.500000 1772130001.5224
MEM 275.500000 1772130001.6229
MEM 279.500000 1772130001.7232
MEM 281.500000 1772130001.8234
MEM 282.500000 1772130001.9237
MEM 284.000000 1772130002.0239
MEM 285.500000 1772130002.1242
MEM 287.000000 1772130002.2244
MEM 288.000000 1772130002.3247
MEM 289.000000 1772130002.4249
MEM 290.000000 1772130002.5251
MEM 291.500000 1772130002.6254
MEM 293.500000 1772130002.7256
MEM 296.000000 1772130002.8259
MEM 297.000000 1772130002.9262
MEM 298.500000 1772130003.0265
MEM 299.500000 1772130003.1268
MEM 301.500000 1772130003.2271
MEM 302.500000 1772130003.3273
MEM 304.000000 1772130003.4276
MEM 305.500000 1772130003.5278
MEM 308.000000 1772130003.6281
MEM 312.000000 1772130003.7284
MEM 313.500000 1772130003.8287
MEM 315.000000 1772130003.9290
MEM 317.000000 1772130004.0293
MEM 319.585938 1772130004.1296
MEM 321.585938 1772130004.2301
MEM 325.585938 1772130004.3304
MEM 326.585938 1772130004.4307
MEM 327.585938 1772130004.5310
MEM 328.585938 1772130004.6313
MEM 330.085938 1772130004.7315
MEM 332.585938 1772130004.8318
MEM 333.585938 1772130004.9321
MEM 335.085938 1772130005.0324
MEM 336.085938 1772130005.1326
MEM 336.585938 1772130005.2330
MEM 337.585938 1772130005.3332
MEM 339.585938 1772130005.4335
MEM 340.085938 1772130005.5337
MEM 341.585938 1772130005.6340
MEM 343.085938 1772130005.7344
MEM 345.085938 1772130005.8347
MEM 345.585938 1772130005.9350
MEM 347.085938 1772130006.0353
MEM 348.085938 1772130006.1356
MEM 349.085938 1772130006.2359
MEM 352.585938 1772130006.3361
MEM 354.585938 1772130006.4364
MEM 356.085938 1772130006.5367
MEM 357.085938 1772130006.6369
MEM 358.085938 1772130006.7372
MEM 359.085938 1772130006.8374
MEM 360.085938 1772130006.9377
MEM 363.085938 1772130007.0380
MEM 365.585938 1772130007.1382
MEM 366.585938 1772130007.2385
MEM 368.085938 1772130007.3387
MEM 369.085938 1772130007.4390
MEM 369.585938 1772130007.5393
MEM 370.085938 1772130007.6396
MEM 370.585938 1772130007.7399
MEM 371.085938 1772130007.8402
MEM 372.085938 1772130007.9404
MEM 372.585938 1772130008.0407
MEM 373.085938 1772130008.1410
MEM 374.085938 1772130008.2413
MEM 374.085938 1772130008.3416
MEM 378.085938 1772130008.4419
MEM 379.585938 1772130008.5422
MEM 385.085938 1772130008.6425
MEM 385.085938 1772130008.7428
MEM 385.585938 1772130008.8430
MEM 386.085938 1772130008.9433
MEM 387.585938 1772130009.0436
MEM 387.585938 1772130009.1439
MEM 387.585938 1772130009.2441
MEM 388.085938 1772130009.3449
MEM 388.585938 1772130009.4451
MEM 389.585938 1772130009.5453
MEM 389.585938 1772130009.6454
MEM 389.585938 1772130009.7456
MEM 389.585938 1772130009.8458
MEM 390.085938 1772130009.9460
MEM 390.085938 1772130010.0462
MEM 391.085938 1772130010.1464
MEM 391.085938 1772130010.2465
MEM 391.585938 1772130010.3466
MEM 391.585938 1772130010.4468
MEM 391.585938 1772130010.5470
MEM 392.085938 1772130010.6472
MEM 393.085938 1772130010.7474
MEM 393.085938 1772130010.8476
MEM 393.085938 1772130010.9478
MEM 393.085938 1772130011.0480
MEM 393.085938 1772130011.1481
MEM 393.585938 1772130011.2484
MEM 394.085938 1772130011.3486
MEM 395.085938 1772130011.4488
MEM 395.585938 1772130011.5490
MEM 396.585938 1772130011.6492
MEM 398.585938 1772130011.7493
MEM 399.585938 1772130011.8495
MEM 401.585938 1772130011.9497
MEM 402.085938 1772130012.0499
MEM 402.585938 1772130012.1501
MEM 402.585938 1772130012.2502
MEM 403.585938 1772130012.3504
MEM 404.585938 1772130012.4506
MEM 406.585938 1772130012.5508
MEM 407.585938 1772130012.6510
MEM 407.585938 1772130012.7512
MEM 407.585938 1772130012.8514
MEM 409.585938 1772130012.9516
MEM 410.585938 1772130013.0518
MEM 410.585938 1772130013.1520
MEM 410.585938 1772130013.2522
MEM 411.585938 1772130013.3524
MEM 412.585938 1772130013.4526
MEM 415.085938 1772130013.5528
MEM 417.585938 1772130013.6530
MEM 419.085938 1772130013.7532
MEM 420.585938 1772130013.8534
MEM 425.238281 1772130013.9536
MEM 425.738281 1772130014.0538
MEM 428.738281 1772130014.1540
MEM 431.238281 1772130014.2542
MEM 434.238281 1772130014.3544
MEM 435.738281 1772130014.4548
MEM 436.238281 1772130014.5551
MEM 437.738281 1772130014.6554
MEM 440.238281 1772130014.7557
MEM 441.738281 1772130014.8560
MEM 443.238281 1772130014.9563
MEM 444.238281 1772130015.0566
MEM 446.738281 1772130015.1569
MEM 448.238281 1772130015.2572
MEM 449.738281 1772130015.3574
MEM 450.238281 1772130015.4577
MEM 450.238281 1772130015.5580
MEM 450.238281 1772130015.6583
MEM 450.238281 1772130015.7585
MEM 450.238281 1772130015.8587
MEM 450.738281 1772130015.9590
MEM 452.238281 1772130016.0593
MEM 454.238281 1772130016.1596
MEM 456.238281 1772130016.2599
MEM 458.738281 1772130016.3602
MEM 461.238281 1772130016.4605
MEM 463.738281 1772130016.5608
MEM 465.738281 1772130016.6611
MEM 468.238281 1772130016.7613
MEM 469.238281 1772130016.8616
MEM 469.738281 1772130016.9618
MEM 471.238281 1772130017.0621
MEM 472.238281 1772130017.1624
MEM 473.238281 1772130017.2627
MEM 474.738281 1772130017.3632
MEM 474.738281 1772130017.4636
MEM 474.738281 1772130017.5640
MEM 474.738281 1772130017.6645
MEM 481.132812 1772130017.7648
MEM 505.136719 1772130017.8652
MEM 531.136719 1772130017.9655
MEM 557.136719 1772130018.0658
MEM 583.136719 1772130018.1662
MEM 609.136719 1772130018.2665
MEM 635.136719 1772130018.3668
MEM 661.136719 1772130018.4672
MEM 687.136719 1772130018.5676
MEM 713.136719 1772130018.6679
MEM 739.136719 1772130018.7683
MEM 765.136719 1772130018.8687
MEM 791.136719 1772130018.9690
MEM 817.136719 1772130019.0694
MEM 843.136719 1772130019.1697
MEM 869.136719 1772130019.2701
MEM 895.136719 1772130019.3705
MEM 953.359375 1772130019.4709
MEM 690.625000 1772130019.5712
MEM 690.625000 1772130019.6714
MEM 690.625000 1772130019.7716
MEM 690.625000 1772130019.8718
MEM 690.625000 1772130019.9720
MEM 690.625000 1772130020.0721
MEM 690.625000 1772130020.1723
MEM 690.625000 1772130020.2725
MEM 690.625000 1772130020.3726
MEM 690.625000 1772130020.4728
MEM 690.625000 1772130020.5730
MEM 690.625000 1772130020.6732
MEM 690.625000 1772130020.7734
MEM 690.625000 1772130020.8735
MEM 690.625000 1772130020.9736
MEM 690.625000 1772130021.0739
MEM 690.625000 1772130021.1740
MEM 690.625000 1772130021.2742
MEM 690.625000 1772130021.3744
MEM 690.625000 1772130021.4746
MEM 690.625000 1772130021.5748
MEM 690.625000 1772130021.6749
MEM 690.625000 1772130021.7751
MEM 690.625000 1772130021.8753
MEM 690.625000 1772130021.9755
MEM 690.625000 1772130022.0756
MEM 690.625000 1772130022.1758
MEM 690.625000 1772130022.2760
MEM 690.625000 1772130022.3762
MEM 690.625000 1772130022.4764
MEM 690.625000 1772130022.5765
MEM 690.625000 1772130022.6766
MEM 690.625000 1772130022.7768
MEM 690.625000 1772130022.8770
MEM 690.625000 1772130022.9772
MEM 810.140625 1772130023.0776
MEM 858.128906 1772130023.1783
MEM 858.128906 1772130023.2792
MEM 869.070312 1772130023.3796
MEM 895.574219 1772130023.4801
MEM 915.574219 1772130023.5805
MEM 936.574219 1772130023.6809
MEM 953.074219 1772130023.7814
MEM 960.574219 1772130023.8817
MEM 967.074219 1772130023.9820
MEM 970.574219 1772130024.0822
MEM 975.074219 1772130024.1834
MEM 1059.640625 1772130024.2838
