CMDLINE /oscar/home/ndilullo/work/tensorflow.venv/bin/python memprof.py
MEM 4.500000 1772130283.4899
MEM 23.000000 1772130283.5902
MEM 35.000000 1772130283.6905
MEM 42.000000 1772130283.7907
MEM 124.500000 1772130283.8911
MEM 196.000000 1772130283.9916
MEM 272.500000 1772130284.0919
MEM 278.500000 1772130284.1922
MEM 286.500000 1772130284.2925
MEM 291.000000 1772130284.3927
MEM 295.000000 1772130284.4930
MEM 301.000000 1772130284.5933
MEM 304.000000 1772130284.6936
MEM 309.000000 1772130284.7939
MEM 317.500000 1772130284.8942
MEM 325.246094 1772130284.9945
MEM 333.746094 1772130285.0947
MEM 339.746094 1772130285.1950
MEM 342.246094 1772130285.2953
MEM 347.246094 1772130285.3956
MEM 352.746094 1772130285.4959
MEM 363.246094 1772130285.5962
MEM 369.746094 1772130285.6965
MEM 375.746094 1772130285.7967
MEM 377.246094 1772130285.8969
MEM 380.246094 1772130285.9972
MEM 391.246094 1772130286.0975
MEM 392.746094 1772130286.1979
MEM 394.246094 1772130286.2982
MEM 395.246094 1772130286.3984
MEM 396.746094 1772130286.4986
MEM 397.746094 1772130286.5988
MEM 398.746094 1772130286.6990
MEM 401.246094 1772130286.7992
MEM 405.746094 1772130286.8995
MEM 407.746094 1772130286.9998
MEM 409.746094 1772130287.1001
MEM 412.746094 1772130287.2004
MEM 415.746094 1772130287.3007
MEM 416.746094 1772130287.4010
MEM 422.746094 1772130287.5014
MEM 430.417969 1772130287.6018
MEM 435.917969 1772130287.7021
MEM 440.917969 1772130287.8024
MEM 441.417969 1772130287.9027
MEM 448.417969 1772130288.0030
MEM 453.417969 1772130288.1033
MEM 455.917969 1772130288.2036
MEM 455.917969 1772130288.3039
MEM 461.917969 1772130288.4043
MEM 467.417969 1772130288.5046
MEM 471.417969 1772130288.6049
MEM 475.417969 1772130288.7052
MEM 478.917969 1772130288.8055
MEM 480.417969 1772130288.9058
MEM 508.261719 1772130289.0062
MEM 532.261719 1772130289.1066
MEM 558.261719 1772130289.2069
MEM 586.261719 1772130289.3073
MEM 610.261719 1772130289.4077
MEM 636.261719 1772130289.5080
MEM 662.261719 1772130289.6084
MEM 690.261719 1772130289.7087
MEM 716.261719 1772130289.8091
MEM 742.261719 1772130289.9095
MEM 768.261719 1772130290.0098
MEM 794.261719 1772130290.1102
MEM 820.261719 1772130290.2105
MEM 846.261719 1772130290.3108
MEM 872.261719 1772130290.4112
MEM 898.261719 1772130290.5115
MEM 905.761719 1772130290.6119
MEM 905.761719 1772130290.7123
MEM 905.761719 1772130290.8128
MEM 907.761719 1772130290.9132
MEM 931.964844 1772130291.0135
MEM 957.964844 1772130291.1138
MEM 983.964844 1772130291.2142
MEM 1009.964844 1772130291.3146
MEM 1035.964844 1772130291.4149
MEM 1061.964844 1772130291.5153
MEM 1087.968750 1772130291.6157
MEM 1111.968750 1772130291.7160
MEM 1137.968750 1772130291.8164
MEM 1163.968750 1772130291.9167
MEM 1189.968750 1772130292.0171
MEM 1215.968750 1772130292.1175
MEM 1241.968750 1772130292.2178
MEM 1267.968750 1772130292.3182
MEM 1293.968750 1772130292.4185
MEM 1315.468750 1772130292.5188
MEM 1315.468750 1772130292.6192
MEM 1315.468750 1772130292.7196
MEM 1318.562500 1772130292.8200
MEM 1344.562500 1772130292.9203
MEM 1368.562500 1772130293.0207
MEM 1394.562500 1772130293.1210
MEM 1420.562500 1772130293.2214
MEM 1446.562500 1772130293.3217
MEM 1472.562500 1772130293.4221
MEM 1498.562500 1772130293.5225
MEM 1524.562500 1772130293.6228
MEM 1550.562500 1772130293.7232
MEM 1576.562500 1772130293.8235
